# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz];Trc13_S11[dB];Trc15_S21[dB];re:Trc16_S11[U];im:Trc16_S11[U];Trc17_S21[°];
5.250000000000000E+006;-4.318822365453307E-002;-2.558628908262007E+001;-9.866076940299251E-001;1.292674927711253E-001;7.267413742519899E+001;
5.250100000000000E+006;-4.249159845046659E-002;-2.558197461940733E+001;-9.866791259755352E-001;1.293366087595902E-001;7.265040456367905E+001;
5.250200000000000E+006;-4.258380761606764E-002;-2.558587914730991E+001;-9.866554363564423E-001;1.294360108673885E-001;7.257824502813145E+001;
5.250300000000000E+006;-4.201353707191755E-002;-2.557413296122138E+001;-9.867256166897404E-001;1.294033435245465E-001;7.254876018076692E+001;
5.250400000000000E+006;-4.245560665629383E-002;-2.557209662758956E+001;-9.866700590346940E-001;1.294374650844529E-001;7.261237480894718E+001;
5.250500000000000E+006;-4.194907943278495E-002;-2.555872079318818E+001;-9.867277248189378E-001;1.294440580390337E-001;7.259351677891870E+001;
5.250600000000000E+006;-4.308603535009992E-002;-2.555756998356136E+001;-9.865879175511285E-001;1.295083191092966E-001;7.252949288469499E+001;
5.250700000000000E+006;-4.207802629143509E-002;-2.555370998652247E+001;-9.867022162762981E-001;1.295248942028323E-001;7.260049435554323E+001;
5.250800000000000E+006;-4.270345624309996E-002;-2.555277140877653E+001;-9.866246639441785E-001;1.295651287034907E-001;7.262719329652100E+001;
5.250900000000000E+006;-4.295535796284762E-002;-2.555752434884264E+001;-9.865857982642158E-001;1.296394208092181E-001;7.260083805372662E+001;
5.251000000000000E+006;-4.301591105669574E-002;-2.552958568598964E+001;-9.865822358656415E-001;1.296132828714009E-001;7.258887194590841E+001;
5.251100000000000E+006;-4.277660016324573E-002;-2.552832072184582E+001;-9.865968436818643E-001;1.297125323146967E-001;7.252300984974849E+001;
5.251200000000000E+006;-4.337726620462752E-002;-2.554427567798858E+001;-9.865332857795371E-001;1.296680595258942E-001;7.258083350879038E+001;
5.251300000000000E+006;-4.311369093472405E-002;-2.553285340535766E+001;-9.865569790909454E-001;1.297194886405834E-001;7.255036962904310E+001;
5.251400000000000E+006;-4.303718640354161E-002;-2.553445014882661E+001;-9.865576236777146E-001;1.297818009209402E-001;7.250409942855407E+001;
5.251500000000000E+006;-4.273381702828844E-002;-2.550185599068675E+001;-9.865891523761198E-001;1.298085979069129E-001;7.261957807467294E+001;
5.251600000000000E+006;-4.232026124827412E-002;-2.549780648177935E+001;-9.866320383155969E-001;1.298458527375385E-001;7.259834095403596E+001;
5.251700000000000E+006;-4.283990789316392E-002;-2.548431472720210E+001;-9.865660788261552E-001;1.298907654497796E-001;7.250744232683618E+001;
5.251800000000000E+006;-4.280756387940048E-002;-2.547413867287445E+001;-9.865718130572597E-001;1.298755978988463E-001;7.252415723692543E+001;
5.251900000000000E+006;-4.257760601418799E-002;-2.547759750159021E+001;-9.865825730075922E-001;1.299956602278368E-001;7.261941312875470E+001;
5.252000000000000E+006;-4.325736044265781E-002;-2.548388618650409E+001;-9.865103621664662E-001;1.299475673524583E-001;7.256867297285838E+001;
5.252100000000000E+006;-4.242761616293693E-002;-2.547523682927530E+001;-9.865948098732082E-001;1.300343272593121E-001;7.259650847637337E+001;
5.252200000000000E+006;-4.323873778965633E-002;-2.547696680358040E+001;-9.865114664039082E-001;1.299555197417017E-001;7.256469469237524E+001;
5.252300000000000E+006;-4.323000810493531E-002;-2.547515166461956E+001;-9.864996066843563E-001;1.300531685205942E-001;7.254640864258219E+001;
5.252400000000000E+006;-4.287727923994012E-002;-2.546561004124391E+001;-9.865349385047370E-001;1.300943249353286E-001;7.259250919372036E+001;
5.252500000000000E+006;-4.335087451414028E-002;-2.546273383765072E+001;-9.864793405527726E-001;1.301009485374734E-001;7.249768949285017E+001;
5.252600000000000E+006;-4.274410826486755E-002;-2.546535068351208E+001;-9.865478441503920E-001;1.301131524463917E-001;7.250419011847266E+001;
5.252700000000000E+006;-4.336434408224916E-002;-2.545544715199750E+001;-9.864649727572243E-001;1.301980529718993E-001;7.251093320070795E+001;
5.252800000000000E+006;-4.359912598232998E-002;-2.545509656184253E+001;-9.864393988284049E-001;1.301862740036590E-001;7.251052609469340E+001;
5.252900000000000E+006;-4.316042173150765E-002;-2.544930853141582E+001;-9.864800418926012E-001;1.302623961792419E-001;7.253054668901883E+001;
5.253000000000000E+006;-4.356398829112844E-002;-2.544493383556910E+001;-9.864271071691203E-001;1.303101136112521E-001;7.255673795307109E+001;
5.253100000000000E+006;-4.306606073992968E-002;-2.543885458710422E+001;-9.864835936492348E-001;1.303180615561650E-001;7.253018645813022E+001;
5.253200000000000E+006;-4.322172385283578E-002;-2.544087553327559E+001;-9.864612181443657E-001;1.303512729347234E-001;7.258429931675467E+001;
5.253300000000000E+006;-4.346385443230322E-002;-2.543183972446388E+001;-9.864197115779275E-001;1.304536043552178E-001;7.254651136987050E+001;
5.253400000000000E+006;-4.324918221067980E-002;-2.545513799693756E+001;-9.864473805526944E-001;1.304319545558712E-001;7.249177327074310E+001;
5.253500000000000E+006;-4.373462559458765E-002;-2.546561459805291E+001;-9.863894848694517E-001;1.304455818853195E-001;7.244669742128002E+001;
5.253600000000000E+006;-4.353804155077198E-002;-2.545926316950800E+001;-9.864070115960578E-001;1.304848105600406E-001;7.248744023398962E+001;
5.253700000000000E+006;-4.348285495436659E-002;-2.545665364935890E+001;-9.864138274850266E-001;1.304814920564927E-001;7.248410166698879E+001;
5.253800000000000E+006;-4.325602155460736E-002;-2.542594890707485E+001;-9.864246622168066E-001;1.305976872998171E-001;7.251296282136704E+001;
5.253900000000000E+006;-4.423672857834058E-002;-2.541756537719120E+001;-9.863265658817033E-001;1.304826527868401E-001;7.253602233126706E+001;
5.254000000000000E+006;-4.357199355025200E-002;-2.539588178499686E+001;-9.863898340899868E-001;1.305849677086195E-001;7.256857254072561E+001;
5.254100000000000E+006;-4.368943957014602E-002;-2.540991132365317E+001;-9.863691851416980E-001;1.306384191864958E-001;7.249724599708847E+001;
5.254200000000000E+006;-4.348594002930087E-002;-2.541566903910182E+001;-9.863819020827188E-001;1.307199249503168E-001;7.247174195803849E+001;
5.254300000000000E+006;-4.363845082581504E-002;-2.540128920853401E+001;-9.863620435211722E-001;1.307367898075720E-001;7.250253642368885E+001;
5.254400000000000E+006;-4.333679329873316E-002;-2.539235503884076E+001;-9.863915362369360E-001;1.307772667907224E-001;7.251865481347643E+001;
5.254500000000000E+006;-4.369470268576983E-002;-2.541773813644809E+001;-9.863498163717239E-001;1.307799906785594E-001;7.252921124804479E+001;
5.254600000000000E+006;-4.379787180866467E-002;-2.542353742971589E+001;-9.863363163155466E-001;1.307918952178793E-001;7.250533415519243E+001;
5.254700000000000E+006;-4.367920601226121E-002;-2.542239772154854E+001;-9.863464682800505E-001;1.308187419935669E-001;7.245753164455650E+001;
5.254800000000000E+006;-4.345406444134107E-002;-2.542327398616237E+001;-9.863600414934136E-001;1.309125303684475E-001;7.251588452866670E+001;
5.254900000000000E+006;-4.352754417801918E-002;-2.539581223538522E+001;-9.863487315172537E-001;1.309337662670574E-001;7.251640966772678E+001;
5.255000000000000E+006;-4.374995643972545E-002;-2.539103449853776E+001;-9.863224454986643E-001;1.309381705951906E-001;7.253296584577875E+001;
5.255100000000000E+006;-4.385157126773649E-002;-2.536984403714398E+001;-9.863076745308964E-001;1.309609838356000E-001;7.252780728023745E+001;
5.255200000000000E+006;-4.437066403316207E-002;-2.536993721315491E+001;-9.862469802393505E-001;1.309663485004744E-001;7.252480103881791E+001;
5.255300000000000E+006;-4.362792441714655E-002;-2.536573595766914E+001;-9.863263398413182E-001;1.310150373396545E-001;7.243995749888566E+001;
5.255400000000000E+006;-4.354466976389983E-002;-2.535461339030402E+001;-9.863260280634654E-001;1.310897925077776E-001;7.247961410021445E+001;
5.255500000000000E+006;-4.367449221639530E-002;-2.536842582673060E+001;-9.863046885575010E-001;1.311374645376661E-001;7.254991396501720E+001;
5.255600000000000E+006;-4.426722559405527E-002;-2.535193948182373E+001;-9.862326619184518E-001;1.311640301256049E-001;7.247645011270022E+001;
5.255700000000000E+006;-4.392056266891378E-002;-2.534186496351241E+001;-9.862713041280582E-001;1.311746798835094E-001;7.251944964323938E+001;
5.255800000000000E+006;-4.457030272650028E-002;-2.535067680668411E+001;-9.861902314714762E-001;1.312197302825380E-001;7.254255289803976E+001;
5.255900000000000E+006;-4.410730743224193E-002;-2.533363318871371E+001;-9.862357991893771E-001;1.312793372827247E-001;7.251244917462630E+001;
5.256000000000000E+006;-4.439906183956209E-002;-2.534054244679933E+001;-9.861986454197925E-001;1.313051784695414E-001;7.246665241712938E+001;
5.256100000000000E+006;-4.452305766490339E-002;-2.533804115668554E+001;-9.861860821391743E-001;1.312919236801609E-001;7.251722953640416E+001;
5.256200000000000E+006;-4.440446164467631E-002;-2.533558494154953E+001;-9.861879095856931E-001;1.313811036785403E-001;7.248269477245808E+001;
5.256300000000000E+006;-4.445817306041839E-002;-2.533571079634537E+001;-9.861816453122997E-001;1.313815369011722E-001;7.246352075022379E+001;
5.256400000000000E+006;-4.418269027840197E-002;-2.532070927764453E+001;-9.862032803744648E-001;1.314580685182763E-001;7.250345583534812E+001;
5.256500000000000E+006;-4.415555771255698E-002;-2.532623130145710E+001;-9.862123304036743E-001;1.314136889625587E-001;7.249182208087308E+001;
5.256600000000000E+006;-4.413026955739739E-002;-2.531617957188441E+001;-9.862027419824242E-001;1.315075432106884E-001;7.246431336539104E+001;
5.256700000000000E+006;-4.468232821004786E-002;-2.531390618785456E+001;-9.861346109143405E-001;1.315400634825017E-001;7.251855944099337E+001;
5.256800000000000E+006;-4.435120904944463E-002;-2.530786549738362E+001;-9.861663838975535E-001;1.315887073121737E-001;7.244662880989417E+001;
5.256900000000000E+006;-4.452280683234551E-002;-2.530898511329970E+001;-9.861409108362925E-001;1.316309954792899E-001;7.241987233376973E+001;
5.257000000000000E+006;-4.457310540907079E-002;-2.530284989389927E+001;-9.861392076760061E-001;1.316002074355981E-001;7.246391965335083E+001;
5.257100000000000E+006;-4.453134205792857E-002;-2.530841009578222E+001;-9.861386060870662E-001;1.316408725247899E-001;7.245240115342966E+001;
5.257200000000000E+006;-4.446729740285801E-002;-2.529019850935687E+001;-9.861414274030045E-001;1.316751737844878E-001;7.248663362583258E+001;
5.257300000000000E+006;-4.445552364126121E-002;-2.529708728221753E+001;-9.861377706326387E-001;1.317127441040006E-001;7.247091769194095E+001;
5.257400000000000E+006;-4.449972478424109E-002;-2.528618826554403E+001;-9.861264202130980E-001;1.317594740331440E-001;7.246278609817102E+001;
5.257500000000000E+006;-4.530535581182556E-002;-2.528668591400732E+001;-9.860326987591986E-001;1.317641730213988E-001;7.247036078072060E+001;
5.257600000000000E+006;-4.402419852399554E-002;-2.531742538454941E+001;-9.861736487815216E-001;1.318172742662942E-001;7.242522979233762E+001;
5.257700000000000E+006;-4.539276559629392E-002;-2.530916469279862E+001;-9.860092334141986E-001;1.318641504005199E-001;7.246546815882849E+001;
5.257800000000000E+006;-4.472569273833868E-002;-2.530911014264566E+001;-9.860786192990492E-001;1.319216923312451E-001;7.245213994380053E+001;
5.257900000000000E+006;-4.517756434852674E-002;-2.529600729606686E+001;-9.860284731924998E-001;1.319062185916625E-001;7.246076257797020E+001;
5.258000000000000E+006;-4.520466885553494E-002;-2.529675905672780E+001;-9.860193123507856E-001;1.319512776850652E-001;7.251166611015742E+001;
5.258100000000000E+006;-4.445592404407659E-002;-2.530338391482193E+001;-9.861017269130117E-001;1.319819781245610E-001;7.248318104509535E+001;
5.258200000000000E+006;-4.461544155225640E-002;-2.529410668440788E+001;-9.860790467106416E-001;1.320136980732406E-001;7.242612667395090E+001;
5.258300000000000E+006;-4.452661290009245E-002;-2.528511176493585E+001;-9.860814939491311E-001;1.320720820097015E-001;7.243176533035987E+001;
5.258400000000000E+006;-4.557946357434457E-002;-2.526061309459052E+001;-9.859550570820616E-001;1.321077100378149E-001;7.238804686569107E+001;
5.258500000000000E+006;-4.514109261901850E-002;-2.524500605629228E+001;-9.860007651392473E-001;1.321446277700863E-001;7.249670304856760E+001;
5.258600000000000E+006;-4.503427731195274E-002;-2.524288804775775E+001;-9.860056700131697E-001;1.322001184473441E-001;7.244602373568743E+001;
5.258700000000000E+006;-4.536199115038614E-002;-2.522475365974457E+001;-9.859710745743870E-001;1.321756977131159E-001;7.236206725309735E+001;
5.258800000000000E+006;-4.527751175063981E-002;-2.523391382561981E+001;-9.859621557678059E-001;1.323149746832036E-001;7.237695329523785E+001;
5.258900000000000E+006;-4.580268199965112E-002;-2.522744052965746E+001;-9.859159492571057E-001;1.322070444661320E-001;7.246512402191247E+001;
5.259000000000000E+006;-4.534869894285890E-002;-2.522718709252569E+001;-9.859560134631227E-001;1.322994456743859E-001;7.244415419002955E+001;
5.259100000000000E+006;-4.496201340035723E-002;-2.522185122541929E+001;-9.860011779723918E-001;1.322958711345907E-001;7.243363985359487E+001;
